# ----------------------------------------
# melissani-cave.com - GA4
# Adsense per page-Free-form 1
# 20240708-20250708
# ----------------------------------------

Landing page + query string,Total ad revenue,Views
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR4QGLHU1vB8o-xcT8Orva_HnhIVnJY0OAPRjpIZB9GPx9FnMJRItIDf6d1nyA_aem_0cPeFJYaQvPLBecI1LBRew,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR57He1xOVCRxWsWVkYydo2V-7QHR83Zzg4sjILXNxpi5BpvtyGeF3Ww7Mq_5Q_aem_DlNnHqwD74cbjgCWt9lxHQ,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR5O46Gz5UiEsMXQHCoJZDhE_NNgvKMtwW5PS0sAbXZMPem_zqJqO-hbsj15zw_aem_bQq4XBXO5pwepCwKwuYn3w,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR6-vg8akHveY-aW7wNYXz9e45ArfF0wEkd6ONu8WH_6aOVkI_hRvB6tAZUVPg_aem_n4_kpRDV9aO3xsw4fFdVXg,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR6EN1FjyzJ_UnL7czFtuhhu3wa0gKSroe4gZn_JhytMOPhx2qpptGLQITIPPA_aem_jfw4OqyH7EJdXYjy2j3PdQ,0,1
/opening-hours?fbclid=IwZXh0bgNhZW0CMTEAAR6TEF5Az6lHyKeCXSNnZDG8QZZ49UVSSluesXsWaLC_uD1jL34qVoTND_fSOQ_aem_LO5ZzY73lHy5T4bJTIl12w,0,1
/opening-hours?form=MG0AV3,0,7
/opening-hoursיאסו?fbclid=IwY2xjawI5PPhleHRuA2FlbQIxMQABHeP7MCS4U9yqV2fOK6G7WFbdqBsANTlMOPvjDorPR5ozmJxadQXC3kITJA_aem_Wl11dvQWcDIpkTDY9my_yQ,0,1
/opening-hoursיאסו?fbclid=IwY2xjawI5Z-9leHRuA2FlbQIxMQABHb5Z5MGowZD8pnB8c7JjkDNLVlWlMgqwa-0EE9tNVcxveSfga6Sw9lV0XA_aem_G7pH8ojW4yex0NGV9KguJw,0,1
/opening-hoursיאסו?fbclid=IwY2xjawI6Ws1leHRuA2FlbQIxMQABHeOg5ScdFUQnknM0VekcLzVfAz-o6K4N13i3fyaBnTnb51iAwHPrAM21BQ_aem_dG7HwDTFiWfn-wfVj0rGHw,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjSINleHRuA2FlbQIxMQABHdfJh5b3gs-RGyTSc_u0ecd5qosmOMUneI3WmXAsMlSJcsnuYK2q_kd6hg_aem_GLZXYPlFSsur-J442uTumg,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjTuNleHRuA2FlbQIxMQABHUDneJm919fDqJtY0QrGWRKdSxmqnYy6_KWUYBew8omqo8EjSQr2022LXg_aem_CT1OpWKxYKwCPPMItQz0BA,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjbm1leHRuA2FlbQIxMQABHY9Cw6srAFC4MIQdN43jgKLqagSUHEs2LFb8L1MQGmGff5SiwomhXGPqfQ_aem_h5ZYiYgnKwJVh01-tnVH1w,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjh8BleHRuA2FlbQIxMQABHYU457hmGxOb5JSHURXkIY0q2mV0shh35iijErUYpXzu5918ecGE1DKEcw_aem_I8W7pDcjXgFcEHIcQ0vKyQ,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjhTFleHRuA2FlbQIxMQABHdT_hRqG2n676WcwIyCGG3uV1LF3un_AOFP9VRRN9vUJaylvDGkoumBr5Q_aem_UKJV72qTkBc-LO4hT0Qq3w,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjiZdleHRuA2FlbQIxMAABHbrVEHhdep7VyC22J3CqpBiluwka-hat1J4IRk8NCatmhf7z01s63flSXw_aem_XEmPj9RCbPz_cs5B7dHFUw,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjknJleHRuA2FlbQIxMQABHYCuTdsNdFpc7vPxVyRI3wZ3pqXCtJvvB-qH6nUf77y74bz3KKzIJ8LVwQ_aem_6C4JZaEMMaPCXp0_GO8SRw,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjmjdleHRuA2FlbQIxMQABHSN0946xTgQ-W-Uwax2e3EPyUocVVdp_Rf8lI4tFhmPW4cytuckbhgRkvQ_aem_3mSLJcgF2ZRoKpkT3pU-QQ,0,3
/opening-hoursיאסו?fbclid=IwY2xjawIjnr9leHRuA2FlbQIxMQABHaFjTWxbqRzP_ggMicd2uK63CgbH8r1_yp5Y-2CNg3aYc9y-KtkoensIGg_aem_AuzZNsW8y5kG46-Ca-bLRA,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIjpplleHRuA2FlbQIxMQABHXFFT9Vn6-wVvd8wB_De0ucDoU61oqS0YLTrhrRLPR0eURo_d_xZrorsSw_aem__DnOD9t13L5SJQ5wva4rAQ,0,3
/opening-hoursיאסו?fbclid=IwY2xjawIjqb1leHRuA2FlbQIxMQABHcNCi1h4lBum11YkInTHuz2aAYl_QpJWzAIOO0_1sb6izPVK9zp1ODfw0g_aem_A_vtKMdij9kAW1vYosCPeg,0,3
